scenario,time,node,exportPriceCarrier
a,0,SE33,50.0
a,0,SI03,50.0
a,0,SI04,50.0
a,0,SK01,50.0
a,0,SK03,50.0
a,0,SK04,50.0
a,0,SKO2,50.0
a,0,UK13,50.0
a,0,UKC1,50.0
a,0,UKC2,50.0
a,0,UKD1,50.0
a,0,UKD3,50.0
a,0,UKD4,50.0
a,0,UKD6,50.0
a,0,UKD7,50.0
a,0,UKE1,50.0
a,0,UKE2,50.0
a,0,UKE3,50.0
a,0,UKE4,50.0
a,0,UKF1,50.0
a,0,UKF2,50.0
a,0,UKF3,50.0
a,0,UKG1,50.0
a,0,UKG2,50.0
a,0,UKG3,50.0
a,0,UKH1,50.0
a,0,UKH2,50.0
a,0,UKH3,50.0
a,0,UKI4,50.0
a,0,UKI6,50.0
a,0,UKIS,50.0
a,0,UKIZ,50.0
a,0,UKJ1,50.0
a,0,UKJ2,50.0
a,0,UKJ3,50.0
a,0,UKJ4,50.0
a,0,UKK1,50.0
a,0,UKK2,50.0
a,0,UKK3,50.0
a,0,UKK4,50.0
a,0,UKL1,50.0
a,0,UKL2,50.0
a,0,UKM5,50.0
a,0,UKM6,50.0
a,0,UKM7,50.0
a,0,UKM8,50.0
a,0,UKM9,50.0
a,0,UKNO,50.0
