ID,"('Y', 'km')","('X', 'km')","('TotalGreen_potential', 'MWh')","('Biomass_potential', 'MWh')","('hydrogen_demand', 'MWh')"
AT,5282.946,886.239,139100.0,236543478.29999998,4023.7499999999995
BE,5619.109,193.137,40200.0,235301218.7,11030.624999999998
BG,4863.274,1829.758,192100.0,117294214.7,6174.374999999999
CH,5200.439,440.107,25700.0,170951833.9,0.0
CY,4155.632,2726.595,19100.0,9377311.475,0.0
CZ,5528.764,955.787,108300.0,165225788.70000002,3260.6249999999995
DE,5658.898,596.58,693500.0,1996699426.0,48354.375
DK,6209.147,519.898,200100.0,322330286.4,554.9999999999999
EE,6626.77,1470.936,74800.0,20753206.48,971.2499999999999
EL,4460.624,1666.218,427500.0,134120793.0,2774.9999999999995
ES,4546.485,-566.789,1640700.0,1067870619.0,7769.999999999999
FI,7265.507,1322.099,182800.0,105120620.1,3676.8749999999995
FR,5183.273,2.836,1393500.0,2084823505.0,11724.374999999998
HR,4872.104,1102.982,70600.0,62370484.21,2636.2499999999995
HU,5275.903,1288.433,238500.0,259970716.7,3884.9999999999995
IE,6029.751,-637.176,348100.0,180461849.7,0.0
IT,4748.772,788.677,669600.0,1037880189.0,15678.75
LT,6233.971,1442.546,199700.0,85655218.78999999,4439.999999999999
LU,5517.227,290.783,2100.0,14877625.040000001,0.0
LV,6417.898,1558.197,213200.0,23529469.89,0.0
ME,4786.944,1340.43,2800.0,2508562.832,0.0
MK,4683.749,1559.079,16100.000000000002,13053976.61,0.0
MT,3984.958,990.435,930.0,2126150.6610000003,0.0
NL,5798.944,271.285,255900.0,478246659.0,27611.249999999996
NO,6805.983,515.927,114400.0,76940228.69,0.0
PL,5826.842,1211.351,623900.0,757519860.9,17621.25
PT,4533.221,-958.914,108600.0,128556070.0,1942.4999999999998
RO,5201.493,1740.206,553400.0,354723325.0,9226.875
RS,4966.189,1442.252,88600.0,117307589.8,0.0
SE,6735.229,797.549,564700.0,171781672.3,2081.25
SI,5124.708,949.351,11500.0,24534259.680000007,0.0
SK,5447.73,1270.059,70000.0,87913786.25,3121.8749999999995
UK,5961.028,-239.346,1224600.0,1197672807.0,12764.999999999998
