Constraint Name;Time Step Type;Doc String
``constraint_carbon_emissions_annual``;``set_years``;total annual carbon emissions of energy system
``constraint_carbon_emissions_cumulative``;``set_years``;cumulative carbon emissions of energy system over time
``constraint_carbon_emissions_annual_limit``;``set_years``;limit of total annual carbon emissions of energy system
``constraint_carbon_emissions_budget``;``set_years``;Budget of total carbon emissions of energy system
``constraint_carbon_emissions_budget_overshoot``;``set_years``;Disable carbon emissions budget overshoot if carbon emissions budget overshoot price is inf
``constraint_carbon_emissions_annual_overshoot``;``set_years``;Disable annual carbon emissions overshoot if annual carbon emissions overshoot price is inf
``constraint_cost_carbon_emissions_total``;``set_years``;total carbon emissions cost of energy system
``constraint_cost_total``;``set_years``;total cost of energy system
``constraint_net_present_cost``;``set_years``;net_present_cost of energy system
