Constraint Name;Time Step Type;Doc String
``constraint_capacity_factor_storage``;``set_time_steps_operation``;limit storage charge and discharge by installed power capacity
``constraint_opex_emissions_technology_storage``;``set_time_steps_operation``;storage opex and emissions
``constraint_storage_level_max``;``set_time_steps_storage_level``;limit maximum storage level to capacity
``constraint_couple_storage_level``;``set_time_steps_storage_level``;couple subsequent storage levels (time coupling constraints)
``constraint_capacity_energy_to_power_ratio``;``set_years``;couple storage energy and power capacity
``constraint_storage_technology_capex``;``set_years``;Capital expenditures for installing storage technology
``constraint_flow_storage_spillage``;``set_time_steps_operation``; Limit spillage for storage technologies
``constraint_charge_discharge_binary``;``set_time_steps_operation``; Avoid simultaneous charging and discharging of the storage. NOTE: requires a finite ``capacity_limit``.
