time,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,UK
0,9.426894934003421,11.925925466183266,4.445882340793693,12.926939292599323,0.18756991781403856,10.014949736541205,73.4625102372264,6.733703381878794,1.11484711804741,9.305831913484525,17.372421094813475,6.040423141615902,59.26786871845356,4.603352836773496,12.775194199405352,2.751158474901637,66.15164603785817,2.090608566360565,0.8556593130166239,1.5772669147844876,0.027470193913268808,12.356811303577143,5.836647386189728,28.06834490671339,1.2395639269770107,5.594397973865251,7.431426715562841,1.9324600001292294,3.3934285816944114,44.124405530950625
1,9.550369491496228,11.685747989117509,4.780947391300797,13.125904038403457,0.18756991781403856,10.13161623821015,72.8706508858018,6.584814586393371,1.205768978824173,10.197984095010714,17.31792706403348,6.469264803934121,58.6429556712526,4.674684123338863,13.024616781879121,2.9571444708669574,66.8157786046628,2.2461488763487867,0.8369128873379843,1.704178388191193,0.027470193913268808,12.082226101538925,5.866835662976713,28.431073352252824,1.3130444335078246,6.027250481438619,7.468604865815696,1.9699651909565872,3.4570008342076024,47.75046177554893
2,10.280234604396847,12.888759854629425,5.557321967209228,14.154698919590334,0.18756991781403856,10.935039236992406,79.7789833264333,7.247859779903354,1.4125140391638042,12.562653921069357,18.96366491112783,7.665804603435916,64.21907006024135,5.033880952173542,14.018729374186817,2.8993285946633236,72.60934449489248,2.678297312192935,0.9238653821826114,2.008745112445219,0.027470193913268808,13.378795630526824,6.327915049298298,30.76170681450179,1.3002339589860463,7.009622013678907,8.100520975016545,2.12011837406686,3.720411196682605,46.60987777253862
3,12.268269014360026,16.134076307537992,7.714029964959796,16.501294725787293,0.18756991781403856,13.089534860688884,98.08411495706268,9.198749436775117,1.9737309471741398,17.23223324940043,23.448262583193788,10.679555640977526,79.4499603725211,6.008755708739119,16.55085642261697,3.2218243091925447,87.42359898840414,3.7282695168964546,1.1647488795710768,2.803457064415044,0.027470193913268808,16.74841956353459,7.562373463549732,36.74655627759826,1.4326978670056332,9.75889368626009,9.783040191806665,2.500480873298609,4.325921261493585,51.425792715653415
4,17.055943451382554,22.069400457563415,7.9931664315920035,23.042977052379147,0.18756991781403856,18.195666784109562,134.92593364050347,12.621803113894964,2.0383224410754974,18.436804578689458,32.43439782573574,11.005720414288328,109.15417607807167,8.371268213073128,23.06285253822287,4.016367091470213,121.232575797466,3.859760537482975,1.5957156779934234,2.900384821586709,0.027470193913268808,22.824192574019275,10.487190197388498,51.05457677954332,1.8371376237062833,10.083801103836501,13.590270450150728,3.4849920193729766,6.015495914491991,64.6416997683406
5,17.737795837808875,23.467722579171934,7.865436179798276,23.79518800357151,0.18756991781403856,18.907733849872333,142.2112513190671,13.390449278621785,2.0178721150372625,18.1154813000173,34.62809866374119,10.902025037929732,115.74185482693899,8.708713271029534,23.91178270604325,5.424122223043762,128.838216795314,3.848167126387124,1.6931481755007782,2.884623174320033,0.027470193913268808,24.335999237928174,10.894683066940676,53.03306489063553,2.5212779501315445,9.91442498167151,14.126191968300764,3.6108660869551037,6.2244198385700376,88.1552699219014
6,17.51991077064697,23.263914170319758,7.962305760079116,23.329998043237214,0.18756991781403856,18.82734190294819,140.50869295080838,13.298587212085518,2.025327414974587,18.207341593655947,34.14719406324513,10.912866310711472,114.22093884439613,8.669377069922593,23.774816343455218,5.820949822890538,126.43770562144425,3.821304282271671,1.6790734686000541,2.8817621094440793,0.027470193913268808,24.010426887224845,10.736908651750898,52.72902957623287,2.7623710615685777,10.004046769812023,13.995963229702312,3.593882584798233,6.1353722723370385,93.48923192183469
7,17.55631971619532,23.358755593780977,7.724640977277422,23.48170045521483,0.18756991781403856,18.795017339472608,141.59652532011148,13.286436903318116,1.9748911524092136,17.190462307522242,33.939841816041366,10.63905372487308,114.82586752933906,8.609882450493611,23.692120679826438,5.723728971566377,126.45756828508806,3.7135124300244025,1.6841300541851252,2.801372251988099,0.027470193913268808,24.321432564791895,10.817739675736732,52.58906395235355,2.705896781474315,9.715105836118449,14.048471236565,3.578191618860161,6.202307153102268,92.67526486967945
8,16.951856179040043,21.838910560634517,7.433097079236,22.809497489056007,0.18756991781403856,18.11498785900701,133.81552374855164,12.456041755586734,1.9010950814477148,16.39249889605473,32.211803433098275,10.236967907869282,108.50200393601776,8.339737082803794,23.025064832987148,5.838170451801211,120.99009807491312,3.5797903222846346,1.5715601222173088,2.697778588131042,0.027470193913268808,22.683389902658412,10.446953393135626,50.88788082141827,2.680275818310137,9.341423093700614,13.446639417314017,3.4811261684348254,6.031517068164414,93.47451658708198
9,16.28710386462594,20.815261931180572,7.182506443849083,21.952151974224588,0.18756991781403856,17.455642818392597,127.87061342456559,11.850606057468976,1.82339844858671,15.664765347172999,30.69249007550398,9.848473869553066,103.52249515044186,8.031193143811787,22.202877735828917,5.4262391359915645,115.78479920942732,3.4351908094956096,1.4953969630065285,2.588874070848222,0.027470193913268808,21.58013260371612,10.014641194851231,48.90211041862253,2.5046962813476057,9.036111830575825,12.944229019454445,3.3588798695416893,5.791354112046748,87.4601966793404
10,15.658314844678694,19.892865289421696,7.047233156499066,21.163745728150015,0.18756991781403856,16.69107974292898,122.37983772228692,11.280614017845739,1.7896291533509818,15.242843853342597,29.284637295601552,9.65858996791829,98.98429171439444,7.677073590526096,21.280321488510253,5.159645674172164,110.95458998309411,3.371817675955755,1.4305778001130898,2.539779308550038,0.027470193913268808,20.58600161163616,9.635137583840855,46.97152546743561,2.3695892401794927,8.852734282716808,12.429815292186863,3.2150928581790352,5.590689556430419,83.16401628717385
11,15.334453148339739,19.361722196016753,6.944414929614058,20.772583154412974,0.18756991781403856,16.387729074694164,119.77690303574173,11.014161453652,1.7894644732957978,15.122773665645735,28.562549691035212,9.583536508318662,96.45172069484644,7.521268758253363,20.866789341564296,4.930239826154996,108.07353964513017,3.3483585553822337,1.390575364121914,2.527837283245266,0.027470193913268808,20.02472561391477,9.45864926618943,45.92128374064477,2.25056144197796,8.75113033006567,12.131346884729668,3.1591792830649936,5.47395779071946,79.59985966951868
12,15.232441480736329,19.17217485054253,6.940501456532924,20.699317765931376,0.18756991781403856,16.294688554117723,118.64857937123149,10.849323795738021,1.7988682886901626,15.094801300829932,28.32641294927175,9.588021743854862,95.62558128315783,7.489636371216464,20.79200793437383,4.803596694585087,107.72995189369121,3.360864230234407,1.3762752364126314,2.540641152659242,0.027470193913268808,19.889972655212418,9.40562364910303,45.699342275112066,2.180511971008672,8.7506223205569,12.06604357599167,3.141791963783728,5.428437447748856,77.34699578428037
13,15.238537753434251,19.136923823958693,6.999999928235186,20.729736887259275,0.18756991781403856,16.301399226549915,118.99755494561487,10.854717561665215,1.8152150353476175,15.375770764893469,28.12931030778293,9.679939091039197,95.47194018472658,7.485044215180937,20.83074572365587,4.789683638186276,107.49606233925309,3.3855724391014426,1.373925247298236,2.5683844449209046,0.027470193913268808,19.953156338681666,9.386085950683562,45.717553265323616,2.149947011280922,8.82913595627715,12.071982577629509,3.148079867735273,5.430198707407747,76.71433520414125
14,15.37677602029598,19.534992816729908,7.224170385769751,21.00486636042677,0.18756991781403856,16.525972446172144,120.69529303120359,11.058764733527202,1.8885192854175372,16.013584602788455,28.54660932223462,9.982475045513898,97.31571393033747,7.570201069338107,21.0309982560242,4.801361513251879,108.949603274547,3.5103861864586845,1.4004622843846852,2.6595906612298204,0.027470193913268808,20.366453732400366,9.495438241309454,46.32698559057037,2.127310872053287,9.105434926010403,12.206654586902195,3.180584786392817,5.477880076840708,76.96652774167401
15,15.950321863403737,20.353582201189045,7.393039457474325,21.715410209118048,0.18756991781403856,17.123423314557876,126.12694775936032,11.508023244026612,1.9270273899842725,16.5241743148554,29.599455492750497,10.224740438159916,101.29267921322273,7.832006251693903,21.771385034374205,4.918648498936748,113.32389752723209,3.5820880042185537,1.462557186717191,2.72373960253007,0.027470193913268808,21.365609827854925,9.872747034928214,48.092546271595914,2.165383384733243,9.319304171100491,12.671326456709927,3.3007641005855697,5.66879093302251,78.38249767797429
16,16.34537978811265,21.130138757986092,7.41789020698051,22.18918035349899,0.18756991781403856,17.59219486181598,130.0421710245186,11.989419633814505,1.9370411441139823,16.847319034299584,30.551073833805415,10.292408130172415,104.86885361930322,8.03140236265918,22.232525058136527,5.174547034978502,116.25972075176256,3.614342333863132,1.520584032564676,2.745975941276467,0.027470193913268808,22.112556497576584,10.108864368547804,49.16818593565088,2.2441231024511885,9.358385495838201,13.009153868612517,3.367386361640013,5.793921715516584,81.90392961923466
