time,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,UK
0,5.142944488259433,8.578937589170964,2.5364608671469817,5.77572091035615,0.3711869505759771,4.812951545825335,39.81382381346839,3.16533428356112,0.7411644805747177,2.851470518080915,22.825924010870562,8.431712339470543,54.25183689164842,1.296661100966999,3.1675560927843978,3.1175637018234643,17.564971896490306,1.069333048576819,0.3355663905061886,0.5712245724911259,0.359,0.981,0.0,10.797388394093225,15.044760400077516,14.507167767177641,5.681720944149398,5.712456438017507,4.01,13.803822990987804,0.8627247970115861,2.3955207595129804,31.04970282755769
1,4.885802339784393,8.054878585068511,2.2681911019284806,5.850321116718984,0.3186869505759771,4.733925302590591,38.09852141202613,3.096336073574472,0.7052670160050004,2.5310657499365172,21.644561101620962,8.053300972476382,52.75118807812248,1.178992781501689,2.90875285685979,2.953157499343038,15.984225658413484,1.01400106055207,0.31041232407697633,0.536322832661803,0.345,0.929,0.0,10.714490348905725,15.01857687583778,13.890051192086608,5.3254696167009,5.443700501698921,4.078,13.623446805618771,0.8165763348911899,2.277861236409608,30.01719839742423
2,4.628296241275497,7.488545868334204,1.9528333157732294,5.777156138624603,0.28918695057597715,4.627333682544554,35.92850129165635,2.935155062275513,0.6623091588400971,1.852919690619763,19.357319086804857,7.676100507650725,50.18636847617996,1.0364136983121404,2.5588168003302796,2.748086781880899,13.891263942794279,0.9571868282478555,0.2861694122877445,0.4937597888719471,0.313,0.86,0.0,10.262512997928146,14.609765784838617,13.243049318865845,4.866128508846947,5.257176293448467,3.882,13.087080012562941,0.7509643087037032,2.2022676350313026,28.917218066182027
3,4.137246119044602,6.942666823948979,1.3700355356904614,5.631384286432207,0.27868695057597714,4.2653092047907855,33.99288710297799,2.7434106185643428,0.5935619091789821,0.9400325082506971,17.18041352330332,7.10710782062083,44.052698415153124,0.8712787051210596,2.191601201216706,2.5172243821024223,11.623615857758184,0.9011933341997691,0.26087474548876466,0.4385415125056178,0.286,0.79,0.0,9.747094052072091,13.924449333948052,12.680130568085461,4.35663481655092,5.132320386080396,3.562,12.449755188538834,0.6697506850394952,2.059837315882291,26.25034820313791
4,3.5043656312129334,6.438547425751148,1.273830448874755,4.717153227037052,0.27768695057597714,3.657423922194262,31.553116722999345,2.5304347508136225,0.587951497884788,0.7624599647941634,15.397850062268908,7.095991507809027,36.459469002604735,0.6084220673362857,1.6621267971633484,2.2908690656891766,8.714185596779707,0.8996857660511495,0.2266827039585485,0.44127035660236225,0.268,0.752,0.0,9.240372297854544,12.792924127442364,12.183076770149313,3.945690877486678,5.096501108038796,3.378,11.601586476485057,0.533603569910712,1.873845609725889,23.212380406764318
5,3.5894975135782174,6.37422141550948,1.3066676903419403,4.518906774498279,0.28268695057597715,3.5998155794312305,30.403607377182148,2.507287645032835,0.599727811347209,0.9210290508487238,14.983924460949602,7.276468036921664,35.16421481537718,0.5858764222653617,1.6394266542555722,2.0873228697423833,8.46649206461915,0.9280831931177005,0.22043736140477996,0.46112751148202824,0.262,0.725,0.0,9.214732880015982,12.733964653461364,12.23089630721976,3.629693378671694,5.121970814041672,3.265,11.712429147159817,0.5393244185561725,1.8629597453079771,20.392706302219008
6,3.6929675772451955,6.563475671953827,1.3400393699787119,4.566954765529877,0.28168695057597715,3.601480710257492,29.914456762840864,2.597607640355401,0.6190802446717293,1.0475722984054952,15.275671246725558,7.253536329846538,36.18455983951391,0.6415537196780812,1.7640267129373082,2.020194562333359,9.59130014259965,0.9590040628468733,0.20519788046806292,0.47828310281572406,0.267,0.728,0.0,9.402110553210294,13.24441363381011,12.350375918141662,3.507653032439714,5.136193150234431,3.232,12.1732723301899,0.5876558003088694,1.8982879396252177,19.849904189312348
7,3.9275026115833835,6.566773202996899,1.5755568485174056,4.557350929299723,0.27968695057597714,3.6553669345230655,30.324040409200585,2.694179032650633,0.6484611338576312,1.4386063187855176,15.812120631512412,7.49632448599493,36.743089394659506,0.678115502563575,1.8354266703474844,2.0605057851803994,10.047812348078113,0.997699213418397,0.20333483375136197,0.49765488943346736,0.273,0.704,0.0,9.612704460160497,13.519469039011048,12.415279589776878,3.5173746138332023,5.118700340854326,3.25,12.419030014411556,0.6388097513215828,1.9142761637756043,21.10293223912839
8,4.208880244135431,6.854905942780472,1.8776602583360453,4.495785702305753,0.26318695057597713,3.775123555004177,31.9357497283452,2.846230006456723,0.6638710538793268,2.116187884458705,16.138876158409477,7.661968474035035,38.39011360312645,0.7863697170964726,1.9683012516452971,2.0897795816045983,11.09934816720217,1.0222832641841866,0.22741699581756436,0.5142885527793848,0.301,0.744,0.0,10.036847151412251,14.008830220919203,12.473725956609549,3.480692401056116,5.174942850853273,3.322,12.946809666166724,0.7011342481096254,2.0041673108013383,22.736552683611663
9,4.572151315750297,7.171454202172119,2.047197160850959,4.766925201029963,0.2591869505759771,4.233393386386645,34.674185272340075,3.0017018173205754,0.7026197763533717,2.7557168429900245,17.37704029459954,7.741190667551289,40.66707901038461,0.9812135758483883,2.180931703039098,2.1725874632702658,13.402246283280618,1.089240197024516,0.23963526772157054,0.5592110326336318,0.341,0.801,0.0,10.396748515780697,14.465984243050437,13.28010952423563,3.5521350051955993,5.23059208966229,3.65,13.500515620863844,0.7969154036063966,2.1783256258147623,24.478954993811982
10,4.940762073568329,7.5351645487553425,2.105796423218659,4.983610418447373,0.28568695057597715,4.69131306779774,37.61536991281023,3.2425068200591114,0.7415529742706833,3.1571178345955766,19.882674481865877,7.908024340370446,43.49834781072682,1.1753180160445984,2.4170798928865844,2.323233380643314,15.206048655493937,1.1444126550140294,0.26628907687240244,0.588880919502557,0.37,0.862,0.0,10.604744158778223,15.08057483928584,14.152953957636097,3.988177295902842,5.266183288465499,3.774,14.067248768705586,0.8566535242525031,2.249346278557523,27.84226090238603
11,5.169478449078552,7.80710024616785,2.0628143220305244,5.221580153181999,0.3026869505759771,4.867783435874407,40.25620837556649,3.381037278760998,0.7665672783653207,3.194014192429722,21.885370247593176,8.023397428737484,45.739145028641396,1.2888832432521795,2.5753338458395882,2.6017439343110484,17.553851076858745,1.1762168436515512,0.2909111241862091,0.6015303544943374,0.383,0.872,0.0,10.60004773559765,15.54795655658001,14.76224542739391,4.5398822416299645,5.303064923593395,3.877,14.455521344024305,0.903328966428379,2.445574536325931,30.978934224707906
