technology,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,0.0,0.0,1.0407527591864276,1.6380682705320586,3.169142351470597,3.2523462232407017,3.2523462232407017,3.2523462232407017,3.2523462232407017,3.6895905170413377,4.975807115532358,4.975807115532358,4.975807115532358,4.796778830737825
DAC,0.0,0.0,0.0,1.0172300847889633,1.0172300847889633,1.0172300847889633,1.0172300847889633,1.0172300847889633,1.0172300847889633,1.0172300847889633,1.0172300847889633,1.0172300847889633,1.0172300847889633,1.0172300847889633
SMR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anaerobic_digestion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_to_coal_conversion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_conversion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5010.0
carbon_liquefication,0.0,0.0,3.6515085594357855,7.814708492851693,12.874734561628225,13.104709141274236,13.104709141274236,13.104709141274236,13.104709141274236,13.104709141274236,13.104709141274236,13.104709141274236,13.104709141274236,13.104709141274236
carbon_pipeline,0.0,0.0,0.0,1.765546806052981,9.078945606854488,9.078945606854488,9.078945606854488,9.078945606854488,9.078945606854488,9.859939027518633,33.42209902223736,33.42209902223736,32.137338150754324,31.59650261127742
carbon_removal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_storage,0.0,0.0,3.2954864748907964,7.052774414798653,11.619447941869472,11.827,11.827000000000012,11.827,11.827,11.827,11.827,11.827,11.827,11.827
cement_plant,24.453673363973422,24.453673363973422,24.453673363973422,24.453673363973422,24.453673363973422,24.453673363973422,24.453673363973422,24.453673363973422,24.453673363973422,24.453673363973422,24.453673363973422,24.453673363973422,24.453673363973422,24.453673363973422
cement_plant_oxy_combustion,0.0,0.0,2.87662909450476,4.527602549409664,8.759474344314025,8.989448923960037,8.989448923960037,8.989448923960037,8.989448923960037,10.197987307212875,13.753075733734596,13.753075733734596,13.753075733734594,13.753075733734596
cement_plant_post_comb,0.0,0.0,0.7748794649310251,2.2698758586530636,3.0980301325252353,3.0980301325252353,3.0980301325252357,3.0980301325252357,3.0980301325252353,3.0980301325252353,3.0980301325252353,3.0980301325252353,3.0980301325252353,3.0980301325252353
electrolysis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_pipeline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pv_ground,0.8613769705874648,0.8613769705874648,0.8613769705874648,0.8613769705874648,0.8613769705874648,0.8613769705874648,0.8613769705874648,0.8613769705874648,0.8613769705874648,0.8613769705874648,5.787035591756051,5.787035591756051,5.787035591756051,5.787035591756051
wind_offshore,0.5341573252002211,1.2100799328985223,1.2100799328985223,1.2100799328985223,1.2100799328985223,1.3912278641064137,1.3912278641064137,1.3912278641064137,1.3912278641064137,5.5365284685265115,9.156094129625203,9.156094129625203,9.15609412962514,9.156094129625203
wind_onshore,6.7279930733629705,7.135702203056183,7.135702203056183,7.135702203056183,8.325580367074343,8.325580367072675,8.325580367072673,8.325580367072673,8.325580367072673,9.20864228634951,10.44013625008158,10.44013625008158,10.44013625008158,10.44013625008158
