carrier,node,time_operation,carbon_emissions_carrier
nitrogen,BE10,5,0.0
nitrogen,BE10,6,0.0
nitrogen,BE10,7,0.0
nitrogen,BE10,8,0.0
nitrogen,BE10,9,0.0
nitrogen,BE10,10,0.0
nitrogen,BE10,11,0.0
nitrogen,BE10,12,0.0
nitrogen,BE10,13,0.0
nitrogen,BE21,0,0.0
nitrogen,BE21,1,0.0
nitrogen,BE21,2,0.0
nitrogen,BE21,3,0.0
nitrogen,BE21,4,0.0
nitrogen,BE21,5,0.0
nitrogen,BE21,6,0.0
nitrogen,BE21,7,0.0
nitrogen,BE21,8,0.0
nitrogen,BE21,9,0.0
nitrogen,BE21,10,0.0
nitrogen,BE21,11,0.0
nitrogen,BE21,12,0.0
nitrogen,BE21,13,0.0
nitrogen,BE22,0,0.0
nitrogen,BE22,1,0.0
nitrogen,BE22,2,0.0
nitrogen,BE22,3,0.0
nitrogen,BE22,4,0.0
nitrogen,BE22,5,0.0
nitrogen,BE22,6,0.0
nitrogen,BE22,7,0.0
nitrogen,BE22,8,0.0
nitrogen,BE22,9,0.0
nitrogen,BE22,10,0.0
nitrogen,BE22,11,0.0
nitrogen,BE22,12,0.0
nitrogen,BE22,13,0.0
nitrogen,BE23,0,0.0
nitrogen,BE23,1,0.0
nitrogen,BE23,2,0.0
nitrogen,BE23,3,0.0
nitrogen,BE23,4,0.0
nitrogen,BE23,5,0.0
nitrogen,BE23,6,0.0
nitrogen,BE23,7,0.0
nitrogen,BE23,8,0.0
nitrogen,BE23,9,0.0
nitrogen,BE23,10,0.0
nitrogen,BE23,11,0.0
nitrogen,BE23,12,0.0
nitrogen,BE23,13,0.0
nitrogen,BE24,0,0.0
nitrogen,BE24,1,0.0
nitrogen,BE24,2,0.0
nitrogen,BE24,3,0.0
nitrogen,BE24,4,0.0
nitrogen,BE24,5,0.0
nitrogen,BE24,6,0.0
nitrogen,BE24,7,0.0
nitrogen,BE24,8,0.0
nitrogen,BE24,9,0.0
nitrogen,BE24,10,0.0
nitrogen,BE24,11,0.0
nitrogen,BE24,12,0.0
nitrogen,BE24,13,0.0
nitrogen,BE25,0,0.0
nitrogen,BE25,1,0.0
nitrogen,BE25,2,0.0
nitrogen,BE25,3,0.0
nitrogen,BE25,4,0.0
nitrogen,BE25,5,0.0
nitrogen,BE25,6,0.0
nitrogen,BE25,7,0.0
nitrogen,BE25,8,0.0
nitrogen,BE25,9,0.0
nitrogen,BE25,10,0.0
nitrogen,BE25,11,0.0
nitrogen,BE25,12,0.0
nitrogen,BE25,13,0.0
nitrogen,BE31,0,0.0
nitrogen,BE31,1,0.0
nitrogen,BE31,2,0.0
nitrogen,BE31,3,0.0
nitrogen,BE31,4,0.0
nitrogen,BE31,5,0.0
nitrogen,BE31,6,0.0
nitrogen,BE31,7,0.0
nitrogen,BE31,8,0.0
nitrogen,BE31,9,0.0
nitrogen,BE31,10,0.0
nitrogen,BE31,11,0.0
nitrogen,BE31,12,0.0
nitrogen,BE31,13,0.0
nitrogen,BE32,0,0.0
nitrogen,BE32,1,0.0
nitrogen,BE32,2,0.0
nitrogen,BE32,3,0.0
nitrogen,BE32,4,0.0
nitrogen,BE32,5,0.0
nitrogen,BE32,6,0.0
nitrogen,BE32,7,0.0
nitrogen,BE32,8,0.0
nitrogen,BE32,9,0.0
nitrogen,BE32,10,0.0
nitrogen,BE32,11,0.0
nitrogen,BE32,12,0.0
nitrogen,BE32,13,0.0
nitrogen,BE33,0,0.0
nitrogen,BE33,1,0.0
nitrogen,BE33,2,0.0
nitrogen,BE33,3,0.0
nitrogen,BE33,4,0.0
nitrogen,BE33,5,0.0
nitrogen,BE33,6,0.0
nitrogen,BE33,7,0.0
nitrogen,BE33,8,0.0
nitrogen,BE33,9,0.0
nitrogen,BE33,10,0.0
nitrogen,BE33,11,0.0
nitrogen,BE33,12,0.0
nitrogen,BE33,13,0.0
nitrogen,BE34,0,0.0
nitrogen,BE34,1,0.0
nitrogen,BE34,2,0.0
nitrogen,BE34,3,0.0
nitrogen,BE34,4,0.0
nitrogen,BE34,5,0.0
nitrogen,BE34,6,0.0
nitrogen,BE34,7,0.0
nitrogen,BE34,8,0.0
nitrogen,BE34,9,0.0
nitrogen,BE34,10,0.0
nitrogen,BE34,11,0.0
nitrogen,BE34,12,0.0
nitrogen,BE34,13,0.0
nitrogen,BE35,0,0.0
nitrogen,BE35,1,0.0
nitrogen,BE35,2,0.0
nitrogen,BE35,3,0.0
nitrogen,BE35,4,0.0
nitrogen,BE35,5,0.0
nitrogen,BE35,6,0.0
nitrogen,BE35,7,0.0
nitrogen,BE35,8,0.0
nitrogen,BE35,9,0.0
nitrogen,BE35,10,0.0
nitrogen,BE35,11,0.0
nitrogen,BE35,12,0.0
nitrogen,BE35,13,0.0
nitrogen,BG31,0,0.0
nitrogen,BG31,1,0.0
nitrogen,BG31,2,0.0
nitrogen,BG31,3,0.0
nitrogen,BG31,4,0.0
nitrogen,BG31,5,0.0
nitrogen,BG31,6,0.0
nitrogen,BG31,7,0.0
nitrogen,BG31,8,0.0
nitrogen,BG31,9,0.0
nitrogen,BG31,10,0.0
nitrogen,BG31,11,0.0
nitrogen,BG31,12,0.0
nitrogen,BG31,13,0.0
nitrogen,BG32,0,0.0
nitrogen,BG32,1,0.0
nitrogen,BG32,2,0.0
nitrogen,BG32,3,0.0
nitrogen,BG32,4,0.0
nitrogen,BG32,5,0.0
nitrogen,BG32,6,0.0
nitrogen,BG32,7,0.0
nitrogen,BG32,8,0.0
nitrogen,BG32,9,0.0
nitrogen,BG32,10,0.0
nitrogen,BG32,11,0.0
nitrogen,BG32,12,0.0
nitrogen,BG32,13,0.0
nitrogen,BG33,0,0.0
nitrogen,BG33,1,0.0
nitrogen,BG33,2,0.0
nitrogen,BG33,3,0.0
nitrogen,BG33,4,0.0
nitrogen,BG33,5,0.0
nitrogen,BG33,6,0.0
nitrogen,BG33,7,0.0
nitrogen,BG33,8,0.0
nitrogen,BG33,9,0.0
nitrogen,BG33,10,0.0
nitrogen,BG33,11,0.0
nitrogen,BG33,12,0.0
nitrogen,BG33,13,0.0
nitrogen,BG34,0,0.0
nitrogen,BG34,1,0.0
nitrogen,BG34,2,0.0
nitrogen,BG34,3,0.0
nitrogen,BG34,4,0.0
nitrogen,BG34,5,0.0
nitrogen,BG34,6,0.0
nitrogen,BG34,7,0.0
nitrogen,BG34,8,0.0
nitrogen,BG34,9,0.0
nitrogen,BG34,10,0.0
nitrogen,BG34,11,0.0
nitrogen,BG34,12,0.0
nitrogen,BG34,13,0.0
nitrogen,BG41,0,0.0
nitrogen,BG41,1,0.0
nitrogen,BG41,2,0.0
nitrogen,BG41,3,0.0
nitrogen,BG41,4,0.0
nitrogen,BG41,5,0.0
nitrogen,BG41,6,0.0
nitrogen,BG41,7,0.0
nitrogen,BG41,8,0.0
nitrogen,BG41,9,0.0
nitrogen,BG41,10,0.0
nitrogen,BG41,11,0.0
nitrogen,BG41,12,0.0
nitrogen,BG41,13,0.0
nitrogen,BG42,0,0.0
nitrogen,BG42,1,0.0
nitrogen,BG42,2,0.0
nitrogen,BG42,3,0.0
nitrogen,BG42,4,0.0
nitrogen,BG42,5,0.0
nitrogen,BG42,6,0.0
nitrogen,BG42,7,0.0
nitrogen,BG42,8,0.0
nitrogen,BG42,9,0.0
nitrogen,BG42,10,0.0
nitrogen,BG42,11,0.0
nitrogen,BG42,12,0.0
nitrogen,BG42,13,0.0
nitrogen,CH01,0,0.0
nitrogen,CH01,1,0.0
nitrogen,CH01,2,0.0
nitrogen,CH01,3,0.0
nitrogen,CH01,4,0.0
nitrogen,CH01,5,0.0
nitrogen,CH01,6,0.0
nitrogen,CH01,7,0.0
nitrogen,CH01,8,0.0
nitrogen,CH01,9,0.0
nitrogen,CH01,10,0.0
nitrogen,CH01,11,0.0
nitrogen,CH01,12,0.0
nitrogen,CH01,13,0.0
nitrogen,CH02,0,0.0
nitrogen,CH02,1,0.0
nitrogen,CH02,2,0.0
nitrogen,CH02,3,0.0
nitrogen,CH02,4,0.0
nitrogen,CH02,5,0.0
nitrogen,CH02,6,0.0
nitrogen,CH02,7,0.0
nitrogen,CH02,8,0.0
nitrogen,CH02,9,0.0
nitrogen,CH02,10,0.0
nitrogen,CH02,11,0.0
nitrogen,CH02,12,0.0
nitrogen,CH02,13,0.0
nitrogen,CH03,0,0.0
nitrogen,CH03,1,0.0
nitrogen,CH03,2,0.0
nitrogen,CH03,3,0.0
nitrogen,CH03,4,0.0
nitrogen,CH03,5,0.0
nitrogen,CH03,6,0.0
nitrogen,CH03,7,0.0
nitrogen,CH03,8,0.0
nitrogen,CH03,9,0.0
nitrogen,CH03,10,0.0
nitrogen,CH03,11,0.0
nitrogen,CH03,12,0.0
nitrogen,CH03,13,0.0
nitrogen,CH04,0,0.0
nitrogen,CH04,1,0.0
nitrogen,CH04,2,0.0
nitrogen,CH04,3,0.0
nitrogen,CH04,4,0.0
nitrogen,CH04,5,0.0
nitrogen,CH04,6,0.0
nitrogen,CH04,7,0.0
nitrogen,CH04,8,0.0
nitrogen,CH04,9,0.0
nitrogen,CH04,10,0.0
nitrogen,CH04,11,0.0
nitrogen,CH04,12,0.0
nitrogen,CH04,13,0.0
nitrogen,CH05,0,0.0
nitrogen,CH05,1,0.0
nitrogen,CH05,2,0.0
nitrogen,CH05,3,0.0
nitrogen,CH05,4,0.0
nitrogen,CH05,5,0.0
nitrogen,CH05,6,0.0
nitrogen,CH05,7,0.0
nitrogen,CH05,8,0.0
nitrogen,CH05,9,0.0
nitrogen,CH05,10,0.0
nitrogen,CH05,11,0.0
nitrogen,CH05,12,0.0
nitrogen,CH05,13,0.0
nitrogen,CH06,0,0.0
nitrogen,CH06,1,0.0
nitrogen,CH06,2,0.0
nitrogen,CH06,3,0.0
nitrogen,CH06,4,0.0
nitrogen,CH06,5,0.0
nitrogen,CH06,6,0.0
nitrogen,CH06,7,0.0
nitrogen,CH06,8,0.0
nitrogen,CH06,9,0.0
nitrogen,CH06,10,0.0
nitrogen,CH06,11,0.0
nitrogen,CH06,12,0.0
nitrogen,CH06,13,0.0
nitrogen,CH07,0,0.0
nitrogen,CH07,1,0.0
nitrogen,CH07,2,0.0
nitrogen,CH07,3,0.0
nitrogen,CH07,4,0.0
nitrogen,CH07,5,0.0
nitrogen,CH07,6,0.0
nitrogen,CH07,7,0.0
nitrogen,CH07,8,0.0
nitrogen,CH07,9,0.0
nitrogen,CH07,10,0.0
nitrogen,CH07,11,0.0
nitrogen,CH07,12,0.0
nitrogen,CH07,13,0.0
nitrogen,CY00,0,0.0
nitrogen,CY00,1,0.0
nitrogen,CY00,2,0.0
nitrogen,CY00,3,0.0
nitrogen,CY00,4,0.0
nitrogen,CY00,5,0.0
nitrogen,CY00,6,0.0
nitrogen,CY00,7,0.0
nitrogen,CY00,8,0.0
nitrogen,CY00,9,0.0
nitrogen,CY00,10,0.0
nitrogen,CY00,11,0.0
nitrogen,CY00,12,0.0
nitrogen,CY00,13,0.0
nitrogen,CZ01,0,0.0
nitrogen,CZ01,1,0.0
nitrogen,CZ01,2,0.0
nitrogen,CZ01,3,0.0
