scenario,time,node,availabilityCarrier
a,0,ITC2,1000000000000.0
a,0,ITC3,1000000000000.0
a,0,ITC4,1000000000000.0
a,0,ITF1,1000000000000.0
a,0,ITF2,1000000000000.0
a,0,ITF3,1000000000000.0
a,0,ITF4,1000000000000.0
a,0,ITF5,1000000000000.0
a,0,ITF6,1000000000000.0
a,0,ITG1,1000000000000.0
a,0,ITG2,1000000000000.0
a,0,ITH1,1000000000000.0
a,0,ITH2,1000000000000.0
a,0,ITH3,1000000000000.0
a,0,ITH4,1000000000000.0
a,0,ITH5,1000000000000.0
a,0,ITI1,1000000000000.0
a,0,ITI2,1000000000000.0
a,0,LIOO,1000000000000.0
a,0,LT01,1000000000000.0
a,0,LTO2,1000000000000.0
a,0,LUOO,1000000000000.0
a,0,LVOO,1000000000000.0
a,0,ME00,1000000000000.0
a,0,MKOO,1000000000000.0
a,0,MTOO,1000000000000.0
a,0,NL11,1000000000000.0
a,0,NL12,1000000000000.0
a,0,NL13,1000000000000.0
a,0,NL21,1000000000000.0
a,0,NL22,1000000000000.0
a,0,NL23,1000000000000.0
a,0,NL31,1000000000000.0
a,0,NL32,1000000000000.0
a,0,NL33,1000000000000.0
a,0,NL34,1000000000000.0
a,0,NL41,1000000000000.0
a,0,NL42,1000000000000.0
a,0,NO01,1000000000000.0
a,0,NO03,1000000000000.0
a,0,NO04,1000000000000.0
a,0,NO05,1000000000000.0
a,0,NO06,1000000000000.0
a,0,NO07,1000000000000.0
a,0,NOO2,1000000000000.0
a,0,PL21,1000000000000.0
a,0,PL22,1000000000000.0
a,0,PL41,1000000000000.0
a,0,PL42,1000000000000.0
a,0,PL43,1000000000000.0
a,0,PL51,1000000000000.0
a,0,PL52,1000000000000.0
a,0,PL61,1000000000000.0
a,0,PL62,1000000000000.0
a,0,PL63,1000000000000.0
a,0,PL71,1000000000000.0
a,0,PL72,1000000000000.0
a,0,PL81,1000000000000.0
a,0,PL82,1000000000000.0
a,0,PL84,1000000000000.0
a,0,PL91,1000000000000.0
a,0,PL92,1000000000000.0
a,0,PT11,1000000000000.0
a,0,PT15,1000000000000.0
a,0,PT16,1000000000000.0
a,0,PT17,1000000000000.0
a,0,PT18,1000000000000.0
a,0,PT20,1000000000000.0
a,0,PT30,1000000000000.0
a,0,R042,1000000000000.0
a,0,RO11,1000000000000.0
a,0,RO12,1000000000000.0
a,0,RO21,1000000000000.0
a,0,RO22,1000000000000.0
a,0,RO31,1000000000000.0
a,0,RO32,1000000000000.0
a,0,RO41,1000000000000.0
a,0,RS11,1000000000000.0
a,0,RS12,1000000000000.0
a,0,RS21,1000000000000.0
a,0,RS22,1000000000000.0
a,0,SE11,1000000000000.0
a,0,SE12,1000000000000.0
a,0,SE21,1000000000000.0
a,0,SE22,1000000000000.0
a,0,SE23,1000000000000.0
a,0,SE31,1000000000000.0
a,0,SE32,1000000000000.0
a,0,SE33,1000000000000.0
a,0,SI03,1000000000000.0
a,0,SI04,1000000000000.0
a,0,SK01,1000000000000.0
a,0,SK03,1000000000000.0
a,0,SK04,1000000000000.0
a,0,SKO2,1000000000000.0
a,0,UK13,1000000000000.0
a,0,UKC1,1000000000000.0
a,0,UKC2,1000000000000.0
a,0,UKD1,1000000000000.0
a,0,UKD3,1000000000000.0
a,0,UKD4,1000000000000.0
a,0,UKD6,1000000000000.0
a,0,UKD7,1000000000000.0
a,0,UKE1,1000000000000.0
