node,x,y
NL22,290.119374,5772.9399060000005
NL23,261.444014,5827.336393999998
NL31,239.6282752,5776.179334
NL32,223.1703127,5835.017485
CZ02,892.921204,5524.271087
PT16,-951.0221258,4584.569012
CZ08,1147.890645,5555.771774
EL65,1694.4730159999997,4225.049927
NO01,0.0,0.0
NOO2,576.0422576,6813.1899520000015
NO03,0.0,0.0
NO04,0.0,0.0
NO05,0.0,0.0
NO06,612.924088,7004.21921
NO07,984.8828293,7773.405062999999
ITC1,414.8884254,4990.556336000001
PL22,1211.708747,5623.826142000001
PL41,1020.44701,5844.1100750000005
SE32,810.2050057,7024.490825
PL43,932.9543325,5798.923959
FRE1,53.86374661,5610.80508
SE11,996.2756506,6611.863766
PL92,1345.429147,5779.599114
PL62,1276.322473,6033.182375
PL63,1089.32985,6053.623615
PL71,1219.797524,5769.012419
PL72,1329.9928430000002,5690.427531
SE22,782.7316569,6205.466021000002
HU31,1359.1338500000002,5380.418527000002
PL84,1427.3575090000002,5993.177489
PL91,1327.4077960000002,5856.676872
ES24,-307.8805232,4640.479785
PT11,-896.5166165999999,4725.810603
PT15,-1026.032299,4257.669121
PL51,1018.672236,5686.914756
PT17,-1062.4964740000005,4429.905539
DE13,441.7566546,5319.230869
PT20,-2563.455722,4786.10021
PT30,-1965.088085,3936.718248
RO11,1585.0846090000005,5330.895305999999
F119,1257.716445,6996.919441000002
UKD3,-246.6043963,5988.656894999999
RO22,1904.769893,5192.929794
FRI1,-234.5567455,4954.404313
RO32,1862.684287,5074.07993
RO41,1665.581088,5044.540154
R042,1510.568696,5144.885765999999
RS11,1405.991021,5009.0381720000005
RS12,1367.135819,5088.272293000001
RS21,1411.5062409999998,4918.59511
RS22,1544.095385,4906.956985000001
DED5,755.5263232,5696.064386
SE12,905.5703953,6587.056753999999
SE21,861.6005461999999,6357.046631
UKC2,-198.3282645,6174.769961
UKL1,-395.4252022,5848.825142999998
SE31,802.2116252,6747.367882999998
ITF5,1099.965409,4509.143348999998
SE33,960.9570498,7384.807321
ITI2,784.5521655,4763.579174
SI04,903.2704379,5124.340086
PL82,1442.027971,5618.077569
FRC1,133.29127480000002,5244.756598
SK03,1260.626668,5456.808289
SK04,1396.203209,5494.080876
DEGO,642.1517145,5641.138426
UKC1,-188.7838062,6110.617967
DE50,485.7842045,5884.134335
UKD4,-259.6951721,6029.026754
UKH3,-86.94410025,5773.088568
UKD6,-267.4294448,5957.282119
UKD7,-284.14935,5983.513881
UKE1,-124.8060316,6014.008253999999
UKE2,-178.5420358,6054.014472999998
UKE3,-185.7579095,5972.802018999999
UKM8,-348.3921594,6274.243188999998
UKF1,-196.0394083,5930.868632999998
UKF2,-174.7850875,5863.520811000001
SI03,984.3658977,5132.377871000001
UKG1,-261.8516794,5843.615735
UKG2,-268.80490100000003,5904.243639
UKG3,-241.0986212,5872.913850999999
UKH1,-62.30849589,5843.432536
UKH2,-140.3003419,5795.393121
DEA4,484.9368436,5753.9683220000015
UK13,-135.21412959999998,5748.426193
UKI4,-130.3635593,5752.605717
UKIS,-110.1989985,5749.141776000001
UKI6,-131.4557397,5731.024412000002
UKIZ,-146.6665544,5751.219799
UKJ1,-196.7125981,5777.593957
UKJ2,-145.79197889999998,5697.009454
UKJ3,-218.7970705,5708.935377000001
UKJ4,-81.37266543999999,5707.131073
UKK1,-269.5851137,5769.230259999999
DEB1,393.9571827,5567.965986
UKK3,-476.4034416,5678.858278
UKK4,-401.5796779,5700.03237
DK01,708.3566721,6195.707951
ITF3,982.3432012,4558.936517
UKM5,-204.0944242,6400.586169
UKM6,-324.4199779,6426.072408
ITF1,901.999493,4687.273933
IE06,-561.6477555,6032.973661
UKM9,-302.484804,6208.5436310000005
UKNO,-504.4338331,6166.533942000002
