scenario,time,node,availability
a,0,AL01,100000.0
a,0,ALO2,100000.0
a,0,ALO3,100000.0
a,0,AT11,100000.0
a,0,AT12,100000.0
a,0,AT13,100000.0
a,0,AT21,100000.0
a,0,AT22,100000.0
a,0,AT31,100000.0
a,0,AT32,100000.0
a,0,AT33,100000.0
a,0,AT34,100000.0
a,0,BE10,100000.0
a,0,BE21,100000.0
a,0,BE22,100000.0
a,0,BE23,100000.0
a,0,BE24,100000.0
a,0,BE25,100000.0
a,0,BE31,100000.0
a,0,BE32,100000.0
a,0,BE33,100000.0
a,0,BE34,100000.0
a,0,BE35,100000.0
a,0,BG31,100000.0
a,0,BG32,100000.0
a,0,BG33,100000.0
a,0,BG34,100000.0
a,0,BG41,100000.0
a,0,BG42,100000.0
a,0,CH04,100000.0
a,0,CH05,100000.0
a,0,CH06,100000.0
a,0,CH07,100000.0
a,0,CHO1,100000.0
a,0,CHO2,100000.0
a,0,CHO3,100000.0
a,0,CYOO,100000.0
a,0,CZ01,100000.0
a,0,CZ02,100000.0
a,0,CZ03,100000.0
a,0,CZ04,100000.0
a,0,CZ06,100000.0
a,0,CZ07,100000.0
a,0,CZ08,100000.0
a,0,CZO,100000.0
a,0,DE11,100000.0
a,0,DE12,100000.0
a,0,DE13,100000.0
a,0,DE14,100000.0
a,0,DE21,100000.0
a,0,DE22,100000.0
a,0,DE23,100000.0
a,0,DE24,100000.0
a,0,DE25,100000.0
a,0,DE26,100000.0
a,0,DE27,100000.0
a,0,DE30,100000.0
a,0,DE40,100000.0
a,0,DE50,100000.0
a,0,DE60,100000.0
a,0,DE71,100000.0
a,0,DE72,100000.0
a,0,DE73,100000.0
a,0,DE80,100000.0
a,0,DE91,100000.0
a,0,DE92,100000.0
a,0,DE93,100000.0
a,0,DE94,100000.0
a,0,DEA1,100000.0
a,0,DEA2,100000.0
a,0,DEA3,100000.0
a,0,DEA4,100000.0
a,0,DEA5,100000.0
a,0,DEB1,100000.0
a,0,DEB2,100000.0
a,0,DEB3,100000.0
a,0,DECO,100000.0
a,0,DED2,100000.0
a,0,DED4,100000.0
a,0,DED5,100000.0
