index,attributes
minBuiltCapacity,1.6
maxBuiltCapacity,1000000000000.0
minLoad,0
lifetime,87600
carbon_intensity,4.2e-06
costVariable,1.6000000000000003e-05
costFixed,13000
lossCoefficient,0.00012
referenceCarrier,hydrogen
