id_eigl;public_data;country;name;location;company;capacity_mwe;start_year;eigl_process;eigl_text_lon;eigl_text_lat;x;y
129;YES;Finland;Biocatalytic methanation of hydrogen and carbon dioxide in a fixed bed bioreactor;Helsinki;Natural Resources Institute Finland (Luke), Viikinkaari 4, FI-00790 Helsinki, Finland;0;2016;Power to Gas;25.018399999999996;60.22890000000001;2785035.5485000014;8450877.226800002
168;YES;France;Hygreen Provence 3rd phase;Manosque;;305;2027;Other or unknown;5.7827;43.83379999999999;643727.2193999998;5439758.270800002
169;YES;France;Hygreen Provence 2nd phase;Manosque;;113;2025;Other or unknown;5.7827;43.83379999999999;643727.2193999998;5439758.270800002
170;YES;France;Hygreen Provence, 1st Phase;Manosque;;17;2023;Other or unknown;5.7827;43.83379999999999;643727.2193999998;5439758.270800002
171;YES;France;H2V Normandy, 2nd phase;Port-Jérôme;;100;2023;Alkaline electrolysis;0.5432000000000001;49.482600000000005;60468.74740000069;6357148.801299997
172;YES;France;H2V59, 2nd phase;Loon-Plage;;100;2023;Alkaline electrolysis;2.2267;50.998000000000005;247875.1101000011;6620939.953500003
173;YES;France;H2V Normandy, 1st phase;Port-Jérôme;;100;2022;Alkaline electrolysis;0.5432000000000001;49.482600000000005;60468.74740000069;6357148.801299997
174;YES;France;H2V59, 1st phase;Loon-Plage;;100;2022;Alkaline electrolysis;2.2267;50.998000000000005;247875.1101000011;6620939.953500003
175;YES;France;METHYCENTRE;47.28284602046364, 1.2181116629639608;;0.25;2021;Proton exchange membrane electrolysis;1.2180999999999997;47.2828;135598.27169999853;5988357.014399998
176;YES;France;NEL-Lhyfe Agreement - 1st Facility for H2 buses in Bouin;Bouin;;60;2021;Alkaline electrolysis;-2.0698;46.9357;-230409.08199999854;5931584.983999997
177;YES;France;SMT-AG Artois-Gohelle;Artois-Gohelle;;0.5;2019;Alkaline electrolysis;2.8368;50.4308;315791.1314999983;6521219.796899997
178;YES;France;SPHYNX, R&D;Paris;Engie;0;2019;Other or unknown;2.3689;48.9594;263704.74170000106;6267975.229199998
179;YES;France;Jupiter 1000;Fos-sur-Mer;;1;2018;Other or unknown;4.9456;43.4381;550541.6737000011;5378894.6611
180;YES;France;GNVert H2;;Engie;0;2018;Proton exchange membrane electrolysis;0;0;0;0
