uid;city;state;country;iso3;country_code;region;sub_region;accuracy;status;plant_type;primary_production_type;primary_product;capacity;capacity_source;year;owner_permid;owner_name;owner_source;parent_permid;parent_name;ownership_stake;parent_lei;parent_holding_status;parent_ticker;parent_exchange;parent_permid_2;parent_name_2;ownership_stake_2;parent_lei_2;parent_holding_status_2;parent_ticker_2;parent_exchange_2;parent_exchange_3;name;permit_id;site_name;facility_name;installation_name;installationpart_name;site_inspire_id;facility_inspire_id;installation_inspire_id;installation_part_inspire_id;eigl_text_lon;eigl_text_lat;x;y
GASTARG0001;Palpalá;Jujuy;Argentina;ARG;32;Americas;Latin America and the Caribbean;Exact;Operating;Integrated;BF;Crude Steel;0.08;http://www.aceroszapla.com.ar/empresa.php;0;5000954892;Aceros Zapla Sa;http://www.aceroszapla.com.ar/empresa.php;5000954892;Aceros Zapla Sa;0;;Private;;;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;-65.1981;-24.2442;-7257819.2927;-2783193.3018999994
GASTARG0002;Constitución;Santa Fe;Argentina;ARG;32;Americas;Latin America and the Caribbean;Exact;Operating;Mini-Mill;EAF;Crude Steel;0;;0;4295856032;Acindar Industria Argentina de Aceros SA;https://www.acindar.com.ar/wp-content/uploads/2018/11/reporte-sustentabilidad-2011.pdf;5000030092;ArcelorMittal SA;0;2EULGUTUI56JI9SAL165;Public;MT;AEX;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;-60.28660000000001;-33.257;-6711073.613700001;-3929466.309799999
GASTARG0003;San Nicolás de Los Arroyos;Provincia de Buenos Aires;Argentina;ARG;32;Americas;Latin America and the Caribbean;Exact;Operating;;;;0;;0;4295856032;Acindar Industria Argentina de Aceros SA;https://www.acindar.com.ar/wp-content/uploads/2018/11/reporte-sustentabilidad-2011.pdf;5000030092;ArcelorMittal SA;0;2EULGUTUI56JI9SAL165;Public;MT;AEX;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;-60.25780000000001;-33.3465;-6707867.612299999;-3941386.8751000017
GASTARG0004;La Tablada;Provincia de Buenos Aires;Argentina;ARG;32;Americas;Latin America and the Caribbean;Exact;Operating;;;;0;;0;4295856032;Acindar Industria Argentina de Aceros SA;https://www.acindar.com.ar/wp-content/uploads/2018/11/reporte-sustentabilidad-2011.pdf;5000030092;ArcelorMittal SA;0;2EULGUTUI56JI9SAL165;Public;MT;AEX;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;-58.53960000000001;-34.6876;-6516598.463199999;-4121507.857500002
GASTARG0005;Rosario;Santa Fe;Argentina;ARG;32;Americas;Latin America and the Caribbean;Exact;Operating;;;;0;;0;4295856032;Acindar Industria Argentina de Aceros SA;https://www.acindar.com.ar/wp-content/uploads/2018/11/reporte-sustentabilidad-2011.pdf;5000030092;ArcelorMittal SA;0;2EULGUTUI56JI9SAL165;Public;MT;AEX;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;-60.72820000000001;-32.9743;-6760232.300799999;-3891893.214899998
GASTARG0006;Pérez;Santa Fe;Argentina;ARG;32;Americas;Latin America and the Caribbean;Exact;Operating;Mini-Mill;EAF;Crude Steel;0.65;https://www.siderurgia.org.ar/conf18/gerdau.html;0;5035931133;Sipar Aceros SA;https://www.gerdau.com.ar/;5000004542;Gerdau SA;0;254900YDV6SEQQPZVG24;Public;GGBR4;SAO;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;-60.75580000000001;-32.991800000000005;-6763304.718699999;-3894215.6011000015
GASTARG0007;Campana;Provincia de Buenos Aires;Argentina;ARG;32;Americas;Latin America and the Caribbean;Exact;Operating;Mini-Mill;EAF;Crude Steel;0.9;https://prd-wret.s3-us-west-2.amazonaws.com/assets/palladium/production/atoms/files/myb3-2015-ar.pdf;0;4298123650;Siderca SAIC;https://www.tenaris.com/en/contact/tenaris-around-the-world/;5035256873;Techint Holdings SARL;0;;Private;;;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;-58.976000000000006;-34.1555;-6565178.289000001;-4049701.0374
GASTARG0008;Ramallo Partido;Buenos Aires Province;Argentina;ARG;32;Americas;Latin America and the Caribbean;Exact;Operating;Integrated;BF;Crude Steel;2.88;https://prd-wret.s3-us-west-2.amazonaws.com/assets/palladium/production/atoms/files/myb3-2015-ar.pdf;0;4295856067;Ternium Argentina SA;https://www.ternium.com/en/contact-us#our-offices;5035256873;Techint Holdings SARL;0;;Private;;;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;-60.14959999999999;-33.36770000000001;-6695822.8434;-3944212.3112000003
GASTARG0010;Haedo;Provincia de Buenos Aires;Argentina;ARG;32;Americas;Latin America and the Caribbean;Exact;Operating;Downstream;Galvanizing;Finished Products;0;;0;4295856067;Ternium Argentina SA;https://www.ternium.com/en/contact-us#our-offices;5035256873;Techint Holdings SARL;0;;Private;;;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;-58.611799999999995;-34.6388;-6524635.7305;-4114903.2025999986
GASTARG0011;Bosques;Provincia de Buenos Aires;Argentina;ARG;32;Americas;Latin America and the Caribbean;Exact;Operating;Downstream;Galvanizing;Finished Products;0;;0;4295856067;Ternium Argentina SA;https://www.ternium.com/en/contact-us#our-offices;5035256873;Techint Holdings SARL;0;;Private;;;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;-58.1994;-34.82;-6478727.5725;-4139446.688099999
