node,demand,capacity_existing,difference
DEA5,0.4896613273822078,0.0,0.4896613273822078
DEA5,0.4896613273822078,0.0,0.4896613273822078
DEA5,0.4896613273822078,0.0,0.4896613273822078
DEA5,0.4896613273822078,0.0,0.4896613273822078
DEA5,0.4896613273822078,0.1381278538812785,0.35153347350092934
DEA5,0.4896613273822078,0.0,0.4896613273822078
DEA5,0.4896613273822078,0.0,0.4896613273822078
DEB2,0.0302828936654091,0.0,0.0302828936654091
DEB3,0.1207497407700631,0.0,0.1207497407700631
DEE0,0.2786267131992498,0.2625570776255707,0.01606963557367913
DEE0,0.2786267131992498,0.2579908675799086,0.02063584561934123
DEF0,0.191544087006308,0.1472602739726027,0.04428381303370532
DEF0,0.191544087006308,0.0,0.191544087006308
DEG0,0.1831393474205947,0.297945205479452,-0.11480585805885732
DEG0,0.1831393474205947,0.0,0.1831393474205947
DK05,0.3866704797909244,0.3367579908675799,0.04991248892334449
EE00,0.0881398928861774,0.0856164383561643,0.002523454530013111
EL30,0.0468408052974247,0.1141552511415525,-0.0673144458441278
EL30,0.0468408052974247,0.3310502283105022,-0.2842094230130775
EL30,0.0468408052974247,0.045662100456621,0.0011787048408037001
EL52,0.1344489802129613,0.1289954337899543,0.005453546423007022
EL61,0.2349907737709101,0.5593607305936074,-0.32436995682269726
EL63,0.1285414955719017,,
EL64,0.1720238225818707,0.2511415525114155,-0.0791177299295448
EL65,0.2943955252050821,,
ES11,0.0246714490007323,0.0,0.0246714490007323
ES11,0.0246714490007323,0.0,0.0246714490007323
ES12,0.1062348601227595,0.1068493150684931,-0.0006144549457336029
ES12,0.1062348601227595,0.2134703196347032,-0.1072354595119437
ES13,0.0609739851952687,0.0947488584474885,-0.0337748732522198
ES21,0.1923395779491143,0.0,0.1923395779491143
ES21,0.1923395779491143,0.0,0.1923395779491143
ES21,0.1923395779491143,0.0,0.1923395779491143
ES22,0.058481301849564,0.1204337899543378,-0.0619524881047738
ES24,0.0660946781005644,0.0,0.0660946781005644
ES24,0.0660946781005644,0.0,0.0660946781005644
ES30,0.1559208449147922,0.3310502283105022,-0.17512938339571
ES41,0.2517267088668637,0.0930365296803652,0.15869017918649853
ES41,0.2517267088668637,0.16324200913242,0.0884846997344437
ES41,0.2517267088668637,0.1563926940639269,0.09533401480293682
ES41,0.2517267088668637,0.0,0.2517267088668637
ES42,0.1070086917887372,0.3276255707762557,-0.2206168789875185
ES42,0.1070086917887372,0.3333333333333333,-0.2263246415445961
ES43,0.0641640712881474,0.1289954337899543,-0.06483136250180689
ES51,0.5561367298079652,0.0,0.5561367298079652
ES51,0.5561367298079652,0.2054794520547945,0.35065727775317074
ES51,0.5561367298079652,0.1746575342465753,0.38147919556139
ES51,0.5561367298079652,0.0,0.5561367298079652
ES51,0.5561367298079652,0.1141552511415525,0.44198147866641274
ES51,0.5561367298079652,0.1107305936073059,0.44540613620065933
ES52,0.3265044573567269,0.0,0.3265044573567269
ES52,0.3265044573567269,0.2134703196347032,0.1130341377220237
ES52,0.3265044573567269,0.1917808219178082,0.1347236354389187
ES52,0.3265044573567269,0.0,0.3265044573567269
ES52,0.3265044573567269,0.0,0.3265044573567269
ES52,0.3265044573567269,0.0,0.3265044573567269
ES52,0.3265044573567269,0.0,0.3265044573567269
ES52,0.3265044573567269,0.2636986301369863,0.0628058272197406
ES53,0.0282707094048357,,
ES61,0.6128460082550123,0.1141552511415525,0.49869075711345984
ES61,0.6128460082550123,0.1655251141552511,0.4473208940997613
ES61,0.6128460082550123,0.0,0.6128460082550123
ES61,0.6128460082550123,0.0,0.6128460082550123
ES61,0.6128460082550123,0.3276255707762557,0.28522043747875664
ES61,0.6128460082550123,0.1586757990867579,0.45417020916825446
ES61,0.6128460082550123,0.1004566210045662,0.5123893872504461
ES61,0.6128460082550123,0.1118721461187214,0.5009738621362909
ES61,0.6128460082550123,0.0,0.6128460082550123
