scenario,time,node,importPriceCarrier
a,1,SE33,60.0
a,1,ITI2,60.0
a,1,SI04,60.0
a,1,PL82,60.0
a,1,FRC1,60.0
a,1,SK03,60.0
a,1,SK04,60.0
a,1,DEGO,60.0
a,1,UKC1,60.0
a,1,DE50,60.0
a,1,UKD4,60.0
a,1,UKH3,60.0
a,1,UKD6,60.0
a,1,UKD7,60.0
a,1,UKE1,60.0
a,1,UKE2,60.0
a,1,UKE3,60.0
a,1,UKM8,60.0
a,1,UKF1,60.0
a,1,UKF2,60.0
a,1,SI03,60.0
a,1,UKG1,60.0
a,1,UKG2,60.0
a,1,UKG3,60.0
a,1,UKH1,60.0
a,1,UKH2,60.0
a,1,DEA4,60.0
a,1,UK13,60.0
a,1,UKI4,60.0
a,1,UKIS,60.0
a,1,UKI6,60.0
a,1,UKIZ,60.0
a,1,UKJ1,60.0
a,1,UKJ2,60.0
a,1,UKJ3,60.0
a,1,UKJ4,60.0
a,1,UKK1,60.0
a,1,DEB1,60.0
a,1,UKK3,60.0
a,1,UKK4,60.0
a,1,DK01,60.0
a,1,ITF3,60.0
a,1,UKM5,60.0
a,1,UKM6,60.0
a,1,ITF1,60.0
a,1,IE06,60.0
a,1,UKM9,60.0
a,1,UKNO,60.0
