;;;;
Variable Name;Time Step Type;Symbol;Doc String;Unit Category
``capacity``;``set_time_steps_yearly``;:math:`S_{h,p,y}`;size of installed technology h at location p and period y;"{""energy_quantity"": 1, ""time"": -1}"
``capacity_previous``;``set_time_steps_yearly``;:math:`\Delta S^\mathrm{ex}_{h,p,y}`;size of installed technology h at location p and before period y;"{""energy_quantity"": 1, ""time"": -1}"
``capacity_addition``;``set_time_steps_yearly``;:math:`\Delta S_{h,p,y}`;size of built technology h (invested capacity after construction) at location p and period y;"{""energy_quantity"": 1, ""time"": -1}"
``capacity_investment``;``set_time_steps_yearly``;:math:`\Delta S_{h,p,y}^\mathrm{invest}`;size of invested technology h at location p and period y;"{""energy_quantity"": 1, ""time"": -1}"
``cost_capex_overnight``;``set_time_steps_yearly``;:math:`I_{h,p,y}`;capex for building technology h at location p and period y;"{""money"": 1}"
``cost_capex_yearly``;``set_time_steps_yearly``;:math:`A_{h,p,y}`;annual capex for having technology h at location p;"{""money"": 1}"
``cost_capex_yearly_total``;``set_time_steps_yearly``;:math:`CAPEX_y`;total capex for installing all technologies in all locations at all times in period y;"{""money"": 1}"
``cost_opex_variable``;``set_time_steps_operation``;:math:`OPEX_{p,y}^\mathrm{t,v}`;opex for operating technology at location p and period y;"{""money"": 1, ""time"": -1}"
``cost_opex_yearly``;``set_time_steps_yearly``;:math:`-`;yearly opex for operating technology at location p and year y;"{""money"": 1}"
``cost_opex_yearly_total``;``set_time_steps_yearly``;:math:`OPEX_y^\mathrm{t}`;total opex all technologies and locations in year y;"{""money"": 1}"
``carbon_emissions_technology``;``set_time_steps_operation``;:math:`\theta^\mathrm{tech}_{h,n,t,y}`;carbon emissions for operating technology h at location p and time t;"{""emissions"": 1, ""time"": -1}"
``carbon_emissions_technology_total``;``set_time_steps_yearly``;:math:`E^\mathrm{tech}_y`;total carbon emissions for operating technology at location p and period y;"{""emissions"": 1}"
``technology_installation``;``set_time_steps_yearly``;:math:`g_{h,p,y}`;binary variable which equals 1 if technology h is installed at location p and period y, else 0;{}
``tech_on_var``;``set_time_steps_operation``;:math:`B_{h,p,y}`;Binary variable which equals 1 when technology h is switched on at location p and period y, else 0;{}
``capacity_on_off_helper_var``;``set_time_steps_operation``;:math:`S^\mathrm{approx}_{h,p,t,y}`;Helper variable that substitutes the product of capacity and tech_on_var;"{""energy_quantity"": 1, ""time"": -1}"
