carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,3.5305075714258916,1.8958476832845959,1.5203852344254065,1.114350938086007,1.0238404255119717,0.8528373442443601,0.4824925644595601,0.24149146788552028,0.14073539177361555,0.05938035271125062,0.03380272927940563,0.02070233348946605,0.012302500733769458,0.010545000628945185
coal_for_cement,8.302327327119466,8.027285276131972,11.168141416657477,10.321982424232125,9.957504798462736,9.442805655166872,9.08815549706001,9.181370101505843,9.286502892814891,9.471298787050246,9.640624399673666,9.901739329366066,10.125294541255222,10.130308300256774
direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,12.12629228040485,12.510402818274846,11.624789057720541,12.487264590783107,12.508370196556418,12.761183701406484,13.239233398504606,14.116187859699208,14.717508553693472,15.168519480656293,12.813613813447034,17.074946811841723,24.274438610813018,29.442986357988172
electricity,1.2650273942488792,1.7236729751478677,0.22669188729633888,0.15477013261512845,0.32399077750612515,0.3630124035344408,0.42489071431301545,0.4614463426542289,0.4983039274269743,0.5422553279904437,0.5874702351481911,0.6325417631647763,0.6780191383485826,0.7242980765582762
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iron_ore,16.476371037144922,16.05570940144587,15.817335100723117,15.434355003866239,15.144883484493178,14.86552685308151,14.610413000317067,14.343996286999486,14.067680359433295,13.791364431867104,13.515048504300916,13.238732576734723,12.962416649168532,12.686100721602292
limestone,2.3718131651845296,1.8670347537109706,1.9734550536285138,1.8716084417386378,1.7828072219184494,1.6737762261755054,1.5162596731380988,1.3813488412069617,1.2662364377730482,1.1511240343391347,1.0360116309052212,0.9208992274713077,0.8057868240373943,0.6906744206034808
methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,40.698702986884804,46.04812950027919,43.90717120419655,44.90923701778279,43.47655209827393,42.47387981534872,41.71170704383884,38.333778773530504,36.32581561268018,34.54726683857673,32.7147699809353,25.782796561661225,16.849213504419172,7.627164985490984
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil_products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap,10.011415525114153,10.251141552511411,10.490867579908672,10.730593607305932,10.893835616438352,11.057077625570773,11.220319634703191,11.383561643835613,11.546803652968034,11.710045662100452,11.873287671232873,12.036529680365293,12.199771689497714,12.363013698630132
steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,12.9386459891763,13.04791242525065,13.04621113888705,13.06055028816005,13.09553511471435,13.15455300761015,13.408439528997553,14.264045495274276,14.399844488844012,15.178829388429346,16.631185115579825,18.040282331057128,18.372532751300785,18.46551395682296
