scenario,time,node,exportPriceCarrier
a,1,SE33,50.0
a,1,ITI2,50.0
a,1,SI04,50.0
a,1,PL82,50.0
a,1,FRC1,50.0
a,1,SK03,50.0
a,1,SK04,50.0
a,1,DEGO,50.0
a,1,UKC1,50.0
a,1,DE50,50.0
a,1,UKD4,50.0
a,1,UKH3,50.0
a,1,UKD6,50.0
a,1,UKD7,50.0
a,1,UKE1,50.0
a,1,UKE2,50.0
a,1,UKE3,50.0
a,1,UKM8,50.0
a,1,UKF1,50.0
a,1,UKF2,50.0
a,1,SI03,50.0
a,1,UKG1,50.0
a,1,UKG2,50.0
a,1,UKG3,50.0
a,1,UKH1,50.0
a,1,UKH2,50.0
a,1,DEA4,50.0
a,1,UK13,50.0
a,1,UKI4,50.0
a,1,UKIS,50.0
a,1,UKI6,50.0
a,1,UKIZ,50.0
a,1,UKJ1,50.0
a,1,UKJ2,50.0
a,1,UKJ3,50.0
a,1,UKJ4,50.0
a,1,UKK1,50.0
a,1,DEB1,50.0
a,1,UKK3,50.0
a,1,UKK4,50.0
a,1,DK01,50.0
a,1,ITF3,50.0
a,1,UKM5,50.0
a,1,UKM6,50.0
a,1,ITF1,50.0
a,1,IE06,50.0
a,1,UKM9,50.0
a,1,UKNO,50.0
