scenario,time,node,availabilityCarrier
a,1,AT,236543478.3
a,1,BE,235301218.7
a,1,BG,117294214.7
a,1,CH,170951833.9
a,1,CY,9377311.475
a,1,CZ,165225788.70000002
a,1,DE,1996699426.0
a,1,DK,322330286.4
a,1,EE,20753206.48
a,1,EL,134120793.0
a,1,ES,1067870619.0
a,1,FI,105120620.1
a,1,FR,2084823505.0
a,1,HR,62370484.21
a,1,HU,259970716.7
a,1,IE,180461849.7
a,1,IT,1037880189.0
a,1,LT,85655218.78999999
a,1,LU,14877625.04
a,1,LV,23529469.89
a,1,ME,2508562.832
a,1,MK,13053976.61
a,1,MT,2126150.6610000003
a,1,NL,478246659.0
a,1,NO,76940228.69
a,1,PL,757519860.9
a,1,PT,128556070.0
a,1,RO,354723325.0
a,1,RS,117307589.8
a,1,SE,171781672.3
a,1,SI,24534259.680000007
a,1,SK,87913786.25
a,1,UK,1197672807.0
