scenario,time,node,availability
a,0,AT,0
a,0,BE,inf
a,0,BG,inf
a,0,CH,inf
a,0,CY,inf
a,0,CZ,inf
a,0,DE,40
a,0,DK,inf
a,0,EE,inf
a,0,EL,inf
a,0,ES,inf
a,0,FI,inf
a,0,FR,inf
a,0,HR,inf
a,0,HU,inf
a,0,IE,inf
a,0,IT,inf
a,0,LT,inf
a,0,LU,inf
a,0,LV,inf
a,0,ME,inf
a,0,MK,inf
a,0,MT,inf
a,0,NL,inf
a,0,NO,inf
a,0,PL,inf
a,0,PT,inf
a,0,RO,inf
a,0,RS,inf
a,0,SE,inf
a,0,SI,inf
a,0,SK,inf
a,0,UK,inf
