scenario,time,node,availabilityCarrier
a,1,EL65,1000000000.0
a,1,NO01,1000000000.0
a,1,NOO2,1000000000.0
a,1,NO03,1000000000.0
a,1,NO04,1000000000.0
a,1,NO05,1000000000.0
a,1,NO06,1000000000.0
a,1,NO07,1000000000.0
a,1,ITC1,1000000000.0
a,1,PL22,1000000000.0
a,1,PL41,1000000000.0
a,1,SE32,1000000000.0
a,1,PL43,1000000000.0
a,1,FRE1,1000000000.0
a,1,SE11,1000000000.0
a,1,PL92,1000000000.0
a,1,PL62,1000000000.0
a,1,PL63,1000000000.0
a,1,PL71,1000000000.0
a,1,PL72,1000000000.0
a,1,SE22,1000000000.0
a,1,HU31,1000000000.0
a,1,PL84,1000000000.0
a,1,PL91,1000000000.0
a,1,ES24,1000000000.0
a,1,PT11,1000000000.0
a,1,PT15,1000000000.0
a,1,PL51,1000000000.0
a,1,PT17,1000000000.0
a,1,DE13,1000000000.0
a,1,PT20,1000000000.0
a,1,PT30,1000000000.0
a,1,RO11,1000000000.0
a,1,F119,1000000000.0
a,1,UKD3,1000000000.0
a,1,RO22,1000000000.0
a,1,FRI1,1000000000.0
a,1,RO32,1000000000.0
a,1,RO41,1000000000.0
a,1,R042,1000000000.0
a,1,RS11,1000000000.0
a,1,RS12,1000000000.0
a,1,RS21,1000000000.0
a,1,RS22,1000000000.0
a,1,DED5,1000000000.0
a,1,SE12,1000000000.0
a,1,SE21,1000000000.0
a,1,UKC2,1000000000.0
a,1,UKL1,1000000000.0
a,1,SE31,1000000000.0
a,1,ITF5,1000000000.0
a,1,SE33,1000000000.0
a,1,ITI2,1000000000.0
a,1,SI04,1000000000.0
a,1,PL82,1000000000.0
a,1,FRC1,1000000000.0
a,1,SK03,1000000000.0
a,1,SK04,1000000000.0
a,1,DEGO,1000000000.0
a,1,UKC1,1000000000.0
a,1,DE50,1000000000.0
a,1,UKD4,1000000000.0
a,1,UKH3,1000000000.0
a,1,UKD6,1000000000.0
a,1,UKD7,1000000000.0
a,1,UKE1,1000000000.0
a,1,UKE2,1000000000.0
a,1,UKE3,1000000000.0
a,1,UKM8,1000000000.0
a,1,UKF1,1000000000.0
a,1,UKF2,1000000000.0
a,1,SI03,1000000000.0
a,1,UKG1,1000000000.0
a,1,UKG2,1000000000.0
a,1,UKG3,1000000000.0
a,1,UKH1,1000000000.0
a,1,UKH2,1000000000.0
a,1,DEA4,1000000000.0
a,1,UK13,1000000000.0
a,1,UKI4,1000000000.0
a,1,UKIS,1000000000.0
a,1,UKI6,1000000000.0
a,1,UKIZ,1000000000.0
a,1,UKJ1,1000000000.0
a,1,UKJ2,1000000000.0
a,1,UKJ3,1000000000.0
a,1,UKJ4,1000000000.0
a,1,UKK1,1000000000.0
a,1,DEB1,1000000000.0
a,1,UKK3,1000000000.0
a,1,UKK4,1000000000.0
a,1,DK01,1000000000.0
a,1,ITF3,1000000000.0
a,1,UKM5,1000000000.0
a,1,UKM6,1000000000.0
a,1,ITF1,1000000000.0
a,1,IE06,1000000000.0
a,1,UKM9,1000000000.0
a,1,UKNO,1000000000.0
