scenario,time,node,demandCarrier
a,0,RS22,0.0
a,0,SE11,131.8125
a,0,SE12,0.0
a,0,SE21,0.0
a,0,SE22,104.0625
a,0,SE23,1665.0
a,0,SE31,0.0
a,0,SE32,159.5625
a,0,SE33,0.0
a,0,SI03,6.9375
a,0,SI04,0.0
a,0,SK01,999.0
a,0,SK03,0.0
a,0,SK04,0.0
a,0,SKO2,2095.125
a,0,UK13,0.0
a,0,UKC1,13.875
a,0,UKC2,27.75
a,0,UKD1,4488.5625
a,0,UKD3,62.4375
a,0,UKD4,13.875
a,0,UKD6,0.0
a,0,UKD7,0.0
a,0,UKE1,0.0
a,0,UKE2,0.0
a,0,UKE3,0.0
a,0,UKE4,1200.1875
a,0,UKF1,0.0
a,0,UKF2,0.0
a,0,UKF3,1588.6875
a,0,UKG1,0.0
a,0,UKG2,0.0
a,0,UKG3,0.0
a,0,UKH1,0.0
a,0,UKH2,0.0
a,0,UKH3,13.875
a,0,UKI4,0.0
a,0,UKI6,0.0
a,0,UKIS,0.0
a,0,UKIZ,0.0
a,0,UKJ1,0.0
a,0,UKJ2,0.0
a,0,UKJ3,0.0
a,0,UKJ4,0.0
a,0,UKK1,0.0
a,0,UKK2,1484.625
a,0,UKK3,0.0
a,0,UKK4,0.0
a,0,UKL1,27.75
a,0,UKL2,2317.125
a,0,UKM5,0.0
a,0,UKM6,0.0
a,0,UKM7,1519.3125
a,0,UKM8,13.875
a,0,UKM9,0.0
a,0,UKNO,0.0
