Key;Type;Default Value;Description
``dataset``;``str``;``str()``;folder name of the dataset to be used
;;;
``objective``;``str``;``total_cost``;select the objective function. Options are: ``total_cost``, i.e. net-present cost, and ``total_emissions``
``sense``;``str``;``minimize``;sense of the optimization. Options are: ``minimize`` and ``maximize``
;;;
``folder_output``;``str``;``./outputs/``;folder where the output files will be saved
``overwrite_output``;``bool``;``True``;if true, overwrite existing files in the output folder
``output_format``;``str``;``h5``;output format of the optimization results. Currently only ``h5`` is supported
;;;
``time_series_aggregation``;``TimeSeriesAggregation``;``TimeSeriesAggregation()``;additional settings for the time series aggregation algorithm
``earliest_year_of_data``;``int``;``1900``;earliest year of input data
