Variable Name;Time Step Type;Doc String;Unit Category
``flow_conversion_input``;``set_time_steps_operation``;Carrier input of conversion technologies;{"energy_quantity": 1, "time": -1}
``flow_conversion_output``;``set_time_steps_operation``;Carrier output of conversion technologies;{"energy_quantity": 1, "time": -1}
``capacity_approximation``;set_time_steps_yearly;pwa variable for size of installed technology on edge i and time t;{"energy_quantity": 1, "time": -1}
``capex_approximation``;set_time_steps_yearly;pwa variable for capex for installing technology on edge i and time t;{"money": 1}
