Variable Name;Time Step Type;Doc String;Unit Category
``flow_storage_charge``;``set_time_steps_operation``;carrier flow into storage technology on node i and time t;{"energy_quantity": 1, "time": -1}
``flow_storage_discharge``;``set_time_steps_operation``;carrier flow out of storage technology on node i and time t;{"energy_quantity": 1, "time": -1}
``storage_level``;``set_time_steps_storage_level``;storage level of storage technology on node in each storage time step;{"energy_quantity": 1}
